budget,original_title,popularity,first_company_name,revenue,vote_average,vote_count,genre
237000000,Avatar,150.437577,Ingenious Film Partners,2787965087,7.2,11800,Action
300000000,Pirates of the Caribbean: At World's End,139.082615,Walt Disney Pictures,961000000,6.9,4500,Adventure
245000000,Spectre,107.376788,Columbia Pictures,880674609,6.3,4466,Action
250000000,The Dark Knight Rises,112.31295,Legendary Pictures,1084939099,7.6,9106,Action
260000000,John Carter,43.926995,Walt Disney Pictures,284139100,6.1,2124,Action
258000000,Spider-Man 3,115.699814,Columbia Pictures,890871626,5.9,3576,Fantasy
260000000,Tangled,48.681969,Walt Disney Pictures,591794936,7.4,3330,Animation
280000000,Avengers: Age of Ultron,134.279229,Marvel Studios,1405403694,7.3,6767,Action
250000000,Harry Potter and the Half-Blood Prince,98.885637,Warner Bros.,933959197,7.4,5293,Adventure
250000000,Batman v Superman: Dawn of Justice,155.790452,DC Comics,873260194,5.7,7004,Action
270000000,Superman Returns,57.925623,DC Comics,391081192,5.4,1400,Adventure
200000000,Quantum of Solace,107.928811,Eon Productions,586090727,6.1,2965,Adventure
200000000,Pirates of the Caribbean: Dead Man's Chest,145.847379,Walt Disney Pictures,1065659812,7.0,5246,Adventure
255000000,The Lone Ranger,49.046956,Walt Disney Pictures,89289910,5.9,2311,Action
225000000,Man of Steel,99.398009,Legendary Pictures,662845518,6.5,6359,Action
225000000,The Chronicles of Narnia: Prince Caspian,53.978602,Walt Disney,419651413,6.3,1630,Adventure
220000000,The Avengers,144.448633,Paramount Pictures,1519557910,7.4,11776,Science Fiction
380000000,Pirates of the Caribbean: On Stranger Tides,135.413856,Walt Disney Pictures,1045713802,6.4,4948,Adventure
225000000,Men in Black 3,52.035179,Amblin Entertainment,624026776,6.2,4160,Action
250000000,The Hobbit: The Battle of the Five Armies,120.965743,WingNut Films,956019788,7.1,4760,Action
215000000,The Amazing Spider-Man,89.866276,Columbia Pictures,752215857,6.5,6586,Action
200000000,Robin Hood,37.668301,Imagine Entertainment,310669540,6.2,1398,Action
250000000,The Hobbit: The Desolation of Smaug,94.370564,WingNut Films,958400000,7.6,4524,Adventure
180000000,The Golden Compass,42.990906,New Line Cinema,372234864,5.8,1303,Adventure
207000000,King Kong,61.22601,WingNut Films,550000000,6.6,2337,Adventure
200000000,Titanic,100.025899,Paramount Pictures,1845034188,7.5,7562,Drama
250000000,Captain America: Civil War,198.372395,Studio Babelsberg,1153304495,7.1,7241,Adventure
209000000,Battleship,64.928382,Universal Pictures,303025485,5.5,2114,Thriller
150000000,Jurassic World,418.708552,Universal Studios,1513528810,6.5,8662,Action
200000000,Skyfall,93.004993,Columbia Pictures,1108561013,6.9,7604,Action
200000000,Spider-Man 2,35.149586,Columbia Pictures,783766341,6.7,4321,Action
200000000,Iron Man 3,77.68208,Marvel Studios,1215439994,6.8,8806,Action
200000000,Alice in Wonderland,78.530105,Walt Disney Pictures,1025491110,6.4,4645,Family
210000000,X-Men: The Last Stand,3.857526,Ingenious Film Partners,459359555,6.3,3525,Adventure
200000000,Monsters University,89.186492,Walt Disney Pictures,743559607,7.0,3528,Animation
150000000,Transformers: Revenge of the Fallen,21.939663,Paramount Pictures,836297228,6.0,3138,Science Fiction
210000000,Transformers: Age of Extinction,116.840296,Paramount Pictures,1091405097,5.8,3095,Science Fiction
200000000,Oz: The Great and Powerful,46.985445,Walt Disney Pictures,491868548,5.7,3530,Fantasy
200000000,The Amazing Spider-Man 2,89.270217,Columbia Pictures,705717432,6.5,4179,Action
170000000,TRON: Legacy,73.79505,Walt Disney Pictures,400062763,6.3,2841,Adventure
200000000,Cars 2,49.98659,Walt Disney Pictures,559852396,5.8,2033,Animation
200000000,Green Lantern,51.872839,De Line Pictures,219851172,5.1,2487,Adventure
200000000,Toy Story 3,59.995418,Walt Disney Pictures,1066969703,7.6,4597,Animation
200000000,Terminator Salvation,71.862892,Columbia Pictures,371353001,5.9,2463,Action
190000000,Furious 7,102.322217,Universal Pictures,1506249360,7.3,4176,Action
200000000,World War Z,81.834855,Paramount Pictures,531865000,6.7,5560,Action
250000000,X-Men: Days of Future Past,118.078691,Twentieth Century Fox Film Corporation,747862775,7.5,6032,Action
190000000,Star Trek Into Darkness,78.291018,Paramount Pictures,467365246,7.4,4418,Action
195000000,Jack the Giant Slayer,43.349855,New Line Cinema,197687603,5.5,2598,Action
105000000,The Great Gatsby,61.196071,Village Roadshow Pictures,351040419,7.3,3769,Drama
150000000,Prince of Persia: The Sands of Time,62.169881,Walt Disney Pictures,335154643,6.2,2317,Adventure
180000000,Pacific Rim,56.523205,Legendary Pictures,407602906,6.7,4794,Action
195000000,Transformers: Dark of the Moon,28.529607,Paramount Pictures,1123746996,6.1,3299,Action
185000000,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,Lucasfilm,786636033,5.7,2495,Adventure
175000000,The Good Dinosaur,51.692953,Walt Disney Pictures,331926147,6.6,1736,Adventure
185000000,Brave,125.114374,Walt Disney Pictures,538983207,6.7,4641,Animation
185000000,Star Trek Beyond,65.352913,Paramount Pictures,343471816,6.6,2568,Action
180000000,WALL·E,66.390712,Walt Disney Pictures,521311860,7.8,6296,Animation
140000000,Rush Hour 3,22.57178,New Line Cinema,258022233,6.1,783,Action
200000000,2012,45.274225,Columbia Pictures,769653595,5.6,4903,Action
200000000,A Christmas Carol,39.744242,Walt Disney,325233863,6.6,1095,Animation
176000003,Jupiter Ascending,85.36908,Village Roadshow Pictures,183987723,5.2,2768,Science Fiction
180000000,The Legend of Tarzan,42.741719,Village Roadshow Pictures,356743061,5.5,2430,Action
180000000,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,Walt Disney,748806957,6.7,2629,Adventure
178000000,X-Men: Apocalypse,139.272042,Twentieth Century Fox Film Corporation,543934787,6.4,4721,Science Fiction
185000000,The Dark Knight,187.322927,DC Comics,1004558444,8.2,12002,Drama
175000000,Up,92.201962,Pixar Animation Studios,735099082,7.7,6870,Animation
175000000,Monsters vs Aliens,36.167578,DreamWorks Animation,381509870,6.0,1423,Animation
140000000,Iron Man,120.725053,Marvel Studios,585174222,7.4,8776,Action
170000000,Hugo,32.319043,Paramount Pictures,185770160,7.0,2141,Adventure
170000000,Wild Wild West,40.748915,"Todman, Simon, LeMasters Productions",222104681,5.1,1020,Action
145000000,The Mummy: Tomb of the Dragon Emperor,60.034162,Universal Pictures,401128639,5.2,1387,Adventure
175000000,Suicide Squad,90.23792,DC Comics,745000000,5.9,7458,Action
175000000,Evan Almighty,27.082182,Columbia Pictures,173000000,5.3,1151,Fantasy
178000000,Edge of Tomorrow,79.456485,Village Roadshow Pictures,370541256,7.6,4858,Action
175000000,Waterworld,44.640292,Universal Pictures,264218220,5.9,992,Adventure
175000000,G.I. Joe: The Rise of Cobra,32.852443,Paramount Pictures,302469017,5.6,1962,Adventure
175000000,Inside Out,128.655964,Walt Disney Pictures,857611174,8.0,6560,Drama
175000000,The Jungle Book,94.199316,Walt Disney Pictures,966550600,6.7,2892,Family
200000000,Iron Man 2,77.300194,Marvel Studios,623933331,6.6,6849,Adventure
170000000,Snow White and the Huntsman,77.178973,Universal Pictures,396600000,5.8,3118,Adventure
180000000,Maleficent,110.620647,Walt Disney Pictures,758539785,7.0,4496,Fantasy
170000000,Dawn of the Planet of the Apes,243.791743,Ingenious Media,710644566,7.3,4410,Science Fiction
27000000,The Lovers,2.418535,Corsan,0,4.8,34,Action
175000000,47 Ronin,41.796339,Mid Atlantic Films,150962475,5.9,1326,Drama
170000000,Captain America: The Winter Soldier,72.225265,Marvel Studios,714766572,7.6,5764,Action
165000000,Shrek Forever After,44.041186,DreamWorks Animation,752600867,6.0,1959,Comedy
190000000,Tomorrowland,130.311355,Walt Disney Pictures,209154322,6.2,2846,Adventure
165000000,Big Hero 6,203.73459,Walt Disney Pictures,652105443,7.8,6135,Adventure
165000000,Wreck-It Ralph,62.341073,Walt Disney Animation Studios,471222889,7.1,4570,Family
165000000,The Polar Express,47.323228,Golden Mean,305875730,6.4,1474,Adventure
165000000,Independence Day: Resurgence,48.775723,Twentieth Century Fox Film Corporation,389681935,4.9,2491,Action
165000000,How to Train Your Dragon,67.263269,DreamWorks Animation,494878759,7.5,4227,Fantasy
200000000,Terminator 3: Rise of the Machines,69.405188,Columbia Pictures,435000000,5.9,2143,Action
170000000,Guardians of the Galaxy,481.098624,Marvel Studios,773328629,7.9,9742,Action
165000000,Interstellar,724.247784,Paramount Pictures,675120017,8.1,10867,Adventure
160000000,Inception,167.58371,Legendary Pictures,825532764,8.1,13752,Action
15000000,シン・ゴジラ,9.476999,Cine Bazar,77000000,6.5,143,Action
250000000,The Hobbit: An Unexpected Journey,108.849621,WingNut Films,1021103568,7.0,8297,Adventure
38000000,The Fast and the Furious,6.909942,Universal Pictures,207283925,6.6,3428,Action
150000000,The Curious Case of Benjamin Button,60.269279,Paramount Pictures,333932083,7.3,3292,Fantasy
160000000,X-Men: First Class,3.195174,Ingenious Film Partners,353624124,7.1,5181,Action
160000000,The Hunger Games: Mockingjay - Part 2,127.284427,Studio Babelsberg,653428261,6.6,3984,Action
150000000,The Sorcerer's Apprentice,35.580815,Walt Disney Pictures,215283742,5.8,1470,Fantasy
160000000,Poseidon,21.133748,Virtual Studios,181674817,5.5,583,Adventure
170000000,Alice Through the Looking Glass,56.268916,Walt Disney Pictures,299370084,6.5,1725,Fantasy
160000000,Shrek the Third,42.986467,DreamWorks SKG,798958165,6.0,2278,Fantasy
160000000,Warcraft,63.148529,Universal Pictures,433677183,6.3,2268,Action
155000000,Terminator Genisys,202.042635,Paramount Pictures,440603537,5.8,3631,Science Fiction
155000000,The Chronicles of Narnia: The Voyage of the Dawn Treader,49.661984,Dune Entertainment,415686217,6.2,1514,Adventure
140000000,Pearl Harbor,34.20669,Jerry Bruckheimer Films,449220945,6.6,1791,History
150000000,Transformers,25.468493,Paramount Pictures,709709780,6.6,4040,Adventure
155000000,Alexander,39.019229,France 3 Cinéma,167298192,5.6,927,War
150000000,Harry Potter and the Order of the Phoenix,78.144395,Warner Bros.,938212738,7.4,5494,Adventure
150000000,Harry Potter and the Goblet of Fire,101.250416,Patalex IV Productions Limited,895921036,7.5,5608,Adventure
150000000,Hancock,56.758411,Columbia Pictures,624029371,6.2,2961,Fantasy
150000000,I Am Legend,70.867401,Village Roadshow Pictures,585349010,6.9,4853,Drama
150000000,Charlie and the Chocolate Factory,53.905592,Village Roadshow Pictures,474968763,6.7,3624,Adventure
150000000,Ratatouille,65.677399,Walt Disney Pictures,623722818,7.5,4369,Animation
150000000,Batman Begins,115.040024,DC Comics,374218673,7.5,7359,Action
150000000,Madagascar: Escape 2 Africa,44.141021,DreamWorks Animation,603900354,6.2,1810,Family
150000000,Night at the Museum: Battle of the Smithsonian,81.781591,Twentieth Century Fox Film Corporation,413106170,5.9,1971,Adventure
150000000,X-Men Origins: Wolverine,5.954334,Ingenious Film Partners,373062864,6.2,4021,Adventure
150000000,The Matrix Revolutions,73.313918,Village Roadshow Pictures,424988211,6.4,3096,Adventure
150000000,Frozen,165.125366,Walt Disney Pictures,1274219009,7.3,5295,Animation
150000000,The Matrix Reloaded,70.78591,Village Roadshow Pictures,738599701,6.7,3443,Adventure
170000000,Thor: The Dark World,99.499595,Marvel Studios,644571402,6.8,4755,Action
150000000,Mad Max: Fury Road,434.278564,Village Roadshow Pictures,378858340,7.2,9427,Action
150000000,Angels & Demons,67.447636,Columbia Pictures,356613439,6.5,2129,Thriller
150000000,Thor,86.493424,Marvel Studios,449326618,6.6,6525,Adventure
150000000,Bolt,41.845878,Walt Disney Animation Studios,309979994,6.3,1750,Animation
150000000,G-Force,26.710398,Walt Disney Pictures,292817841,5.1,510,Fantasy
150000000,Wrath of the Titans,44.927635,Legendary Pictures,301000000,5.5,1431,Adventure
150000000,Dark Shadows,50.306728,Village Roadshow Pictures,245527149,5.7,2320,Comedy
150000000,Mission: Impossible - Rogue Nation,114.522237,Paramount Pictures,682330139,7.1,3224,Action
150000000,The Wolfman,21.214571,Universal Pictures,0,5.5,549,Drama
150000000,Bee Movie,29.332905,Pacific Data Images (PDI),287594577,5.7,1171,Family
150000000,Kung Fu Panda 2,51.247321,DreamWorks Animation,665692281,6.7,1880,Animation
150000000,The Last Airbender,33.769336,Paramount Pictures,318502923,4.7,1151,Action
150000000,Mission: Impossible III,63.079003,Paramount Pictures,397850012,6.5,2028,Adventure
150000000,White House Down,39.004588,Columbia Pictures,205366737,6.4,1891,Action
150000000,Mars Needs Moms,12.362599,Walt Disney Animation Studios,38992758,5.5,199,Adventure
149000000,Flushed Away,22.550135,Aardman Animations,64459316,6.0,874,Adventure
150000000,Pan,48.03528,Warner Bros.,128388320,5.9,954,Adventure
145000000,Mr. Peabody & Sherman,38.73494,Pacific Data Images (PDI),272912430,6.7,843,Animation
175000000,Troy,66.803149,Plan B Entertainment,497409852,6.9,2759,Adventure
145000000,Madagascar 3: Europe's Most Wanted,44.989192,DreamWorks Animation,746921274,6.4,1808,Animation
140000000,Die Another Day,54.159392,Eon Productions,431971116,5.8,1092,Adventure
144000000,Ghostbusters,66.21806,Columbia Pictures,229147509,5.3,2142,Action
140000000,Armageddon,58.485967,Jerry Bruckheimer Films,553799566,6.4,2482,Action
140000000,Men in Black II,91.332849,Columbia Pictures,441818803,6.0,3114,Action
70000000,Beowulf,35.601665,Paramount Pictures,195735876,5.5,841,Adventure
145000000,Kung Fu Panda 3,56.747978,Twentieth Century Fox Film Corporation,521170825,6.7,1603,Action
145000000,Mission: Impossible - Ghost Protocol,77.77477,Paramount Pictures,694713380,6.8,3972,Action
145000000,Rise of the Guardians,61.788035,DreamWorks Animation,306941670,7.1,1922,Fantasy
100000000,Fun with Dick and Jane,25.159168,Imagine Entertainment,202026112,5.9,627,Comedy
140000000,The Last Samurai,52.341226,Cruise/Wagner Productions,456758981,7.3,1895,Drama
140000000,Exodus: Gods and Kings,101.599427,Scott Free Productions,268031828,5.6,1921,Adventure
150000000,Star Trek,73.616808,Paramount Pictures,385680446,7.4,4518,Science Fiction
139000000,Spider-Man,82.502566,Columbia Pictures,821708551,6.8,5265,Fantasy
145000000,How to Train Your Dragon 2,100.21391,DreamWorks Animation,609123048,7.6,3106,Fantasy
140000000,Gods of Egypt,56.257249,Summit Entertainment,150680864,5.3,1277,Fantasy
135000000,Stealth,17.88953,Laura Ziskin Productions,76932943,4.9,331,Action
130000000,Watchmen,64.798873,Paramount Pictures,185258983,7.0,2811,Action
140000000,Lethal Weapon 4,24.855701,Silver Pictures,285444603,6.3,767,Action
137000000,Hulk,34.981698,Universal Pictures,245360480,5.3,1533,Drama
130000000,G.I. Joe: Retaliation,59.325589,Paramount Pictures,371876278,5.4,3025,Adventure
130000000,Sahara,21.605568,Paramount Pictures,119269486,5.7,434,Action
137000000,Final Fantasy: The Spirits Within,26.074908,Columbia Pictures,85131830,5.9,433,Adventure
140000000,Captain America: The First Avenger,74.506246,Marvel Studios,370569774,6.6,7047,Action
135000000,The World Is Not Enough,39.604363,Eon Productions,361832400,6.0,862,Adventure
150000000,Master and Commander: The Far Side of the World,36.973031,Universal Pictures,212011111,6.9,790,Adventure
120000000,The Twilight Saga: Breaking Dawn - Part 2,99.687084,Summit Entertainment,829000000,6.1,2553,Adventure
130000000,Happy Feet Two,17.7735,Village Roadshow Pictures,150406466,5.8,373,Animation
150000000,The Incredible Hulk,62.898336,Universal Pictures,163712074,6.1,3021,Science Fiction
140000000,The BFG,44.19092,Walt Disney Pictures,183345589,6.0,1000,Adventure
135000000,The Revenant,100.635882,Regency Enterprises,532950503,7.3,6396,Western
135000000,Turbo,44.765377,DreamWorks Animation,282570682,6.1,1074,Animation
135000000,Rango,29.91353,Paramount Pictures,245724603,6.6,2051,Animation
132000000,Penguins of Madagascar,84.366984,DreamWorks Animation,373552094,6.5,1346,Family
70000000,The Bourne Ultimatum,45.381501,Universal Pictures,442824138,7.3,2888,Action
130000000,Kung Fu Panda,84.689648,DreamWorks Animation,631744560,6.9,3145,Adventure
130000000,Ant-Man,120.09361,Marvel Studios,519311965,7.0,5880,Science Fiction
130000000,The Hunger Games: Catching Fire,76.310119,Lionsgate,847423452,7.4,6495,Adventure
135000000,Home,63.473086,Twentieth Century Fox Film Corporation,368871007,6.8,1519,Fantasy
132000000,War of the Worlds,48.572726,Paramount Pictures,591739379,6.2,2322,Adventure
130000000,Bad Boys II,38.068736,Columbia Pictures Corporation,273339556,6.3,1564,Adventure
130000000,Puss in Boots,20.678787,DreamWorks,554987477,6.4,451,Action
110000000,Salt,48.829437,Columbia Pictures,293329073,6.2,2093,Action
125000000,Noah,46.115758,Paramount Pictures,362637473,5.6,2350,Drama
130000000,The Adventures of Tintin,89.938296,Paramount Pictures,371940071,6.7,2061,Adventure
130000000,Harry Potter and the Prisoner of Azkaban,79.679601,1492 Pictures,789804554,7.7,5877,Adventure
130000000,Australia,28.840997,Bazmark Films,49554002,6.3,694,Drama
130000000,After Earth,42.840582,Columbia Pictures,243843127,5.0,2532,Science Fiction
127500000,Dinosaur,26.548594,Walt Disney Pictures,354248063,6.2,542,Animation
127000000,Night at the Museum: Secret of the Tomb,115.597753,Twentieth Century Fox Film Corporation,349424282,6.1,1851,Adventure
130000000,Megamind,68.757242,DreamWorks Animation,321887208,6.7,1918,Animation
125000000,Harry Potter and the Philosopher's Stone,109.984351,1492 Pictures,976475550,7.5,7006,Adventure
130000000,R.I.P.D.,39.448066,Universal Pictures,61648500,5.4,1260,Fantasy
140000000,Pirates of the Caribbean: The Curse of the Black Pearl,271.972889,Walt Disney Pictures,655011224,7.5,6985,Adventure
125000000,The Hunger Games: Mockingjay - Part 1,206.227151,Lionsgate,752100229,6.6,5584,Science Fiction
125000000,The Da Vinci Code,45.313197,Columbia Pictures,767820459,6.5,2704,Thriller
103000000,Rio 2,42.40024,Blue Sky Studios,500188435,6.3,978,Animation
110000000,X2,2.871739,Twentieth Century Fox Film Corporation,407711549,6.8,3506,Adventure
125000000,Fast Five,7.255718,Universal Pictures,626137675,7.1,2438,Action
125000000,Sherlock Holmes: A Game of Shadows,81.499621,Village Roadshow Pictures,334615000,7.0,3886,Adventure
125000000,Clash of the Titans,47.686442,The Zanuck Company,232713139,5.6,2233,Adventure
65000000,Total Recall,43.129703,TriStar Pictures,261317921,7.1,1710,Action
160000000,The 13th Warrior,27.220157,Touchstone Pictures,61698899,6.4,510,Adventure
130000000,The Bourne Legacy,90.33681,Universal Pictures,276572938,6.0,2651,Action
125000000,Batman & Robin,50.073575,PolyGram Filmed Entertainment,238207122,4.2,1418,Action
123000000,How the Grinch Stole Christmas,45.419668,Imagine Entertainment,345141403,6.2,1386,Family
125000000,The Day After Tomorrow,41.380094,Lions Gate Films,544272402,6.2,2392,Action
125000000,Mission: Impossible II,54.931334,Paramount Pictures,546388105,5.9,1928,Adventure
120000000,The Perfect Storm,25.752118,Warner Bros.,325756637,6.2,597,Drama
130000000,4: Rise of the Silver Surfer,60.810723,Ingenious Film Partners,289047763,5.4,2589,Adventure
120000000,Life of Pi,51.328145,Ingenious Film Partners,609016565,7.2,5797,Adventure
110000000,Ghost Rider,46.834704,Columbia Pictures Corporation,228738393,5.2,1712,Thriller
120000000,Jason Bourne,62.641286,The Kennedy/Marshall Company,415484914,5.9,2341,Action
120000000,Charlie's Angels: Full Throttle,33.616115,Columbia Pictures,259175788,5.2,914,Action
130000000,Prometheus,68.889395,Twentieth Century Fox Film Corporation,403170142,6.3,5080,Science Fiction
120000000,Stuart Little 2,27.990284,Columbia Pictures,169956806,5.4,613,Family
115000000,Elysium,67.33767,TriStar Pictures,286140700,6.4,3439,Science Fiction
